"term","estimate","std.error","statistic","p.value","coef.type"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.0928906466132307,0.0917309684195791,1.01264216669279,0.311231111187806,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruthenibacterium",-0.295060604308869,0.292388991144518,-1.00913718794231,0.312908845310479,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans",-0.295060604308869,0.292388991144518,-1.00913718794231,0.312908845310479,"location"
"Simpson.div",8.07694715778967,8.01392682224392,1.00786385213436,0.31351982722284,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D16",-7.00955533501619,7.07564325691473,-0.99065980017662,0.321851726756799,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae",0.0619793756059766,0.0632248997560685,0.98030010083215,0.326938004971702,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium",0.0619463260279401,0.0632070430916387,0.980054167984559,0.327059381019734,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.179502497903265,0.183456019321898,0.978449759058075,0.327851928278554,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.s__Parabacteroides_distasonis",-0.080857377384352,0.0832975775182604,-0.970705028806228,0.331695186946173,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_dorei",0.298399444699386,0.31757413255514,0.939621380049192,0.347411805534456,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus",0.0544320150792573,0.058328258104305,0.9332014506917,0.350715965864793,"location"
